date,timestamp,total_downloads
2025-07-25,2025-07-25T17:48:25.797354,19721
2025-07-26,2025-07-26T00:58:26.783226,19748
2025-07-27,2025-07-27T01:05:49.640198,19841
2025-07-28,2025-07-28T01:04:23.761563,19933
2025-07-29,2025-07-29T01:06:24.368532,20033
2025-07-30,2025-07-30T01:01:01.261869,20115
2025-07-31,2025-07-31T01:00:51.627116,20222
2025-08-01,2025-08-01T01:07:56.021489,20349
2025-08-02,2025-08-02T00:58:20.065219,20448
2025-08-03,2025-08-03T01:06:55.885541,20514
2025-08-04,2025-08-04T01:05:54.066605,20570
2025-08-05,2025-08-05T01:02:33.664208,20808
